Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Uthe,Site 4,September,25,Common evening primrose,0,0,1,0,0,,
Uthe,Site 4,September,17,Common milkweed,0,0,1,0,0,,
Uthe,Site 4,September,30,Common selfheal,0,0,1,0,0,,
Uthe,Site 4,September,45,Common sneezeweed,0,0,1,0,0,,
Uthe,Site 4,September,5,Crown vetch,0,0,1,0,0,,
Uthe,Site 4,September,34,Cup plant,0,0,1,0,0,,
Uthe,Site 4,September,11,Dandelion,0,0,1,0,0,,
Uthe,Site 4,September,20,Deptford pink,0,0,1,0,0,,
Uthe,Site 4,September,7,Eastern daisy fleabane,0,0,1,0,0,,
Uthe,Site 4,September,13,Foxglove beardtounge,0,0,1,0,0,,
Uthe,Site 4,September,46,Frost aster,29,29,30,1.477121255,0,,
Uthe,Site 4,September,3,Golden alexander,0,0,1,0,0,,
Uthe,Site 4,September,47,Goldenrod,1034,1034,1035,3.01494035,0,,
Uthe,Site 4,September,35,Greyheaded coneflower,0,0,1,0,0,,
Uthe,Site 4,September,12,Hairy ruellia,0,0,1,0,0,,
Uthe,Site 4,September,21,Hoary vervain,0,0,1,0,0,,
Uthe,Site 4,September,36,Ironweed,0,0,1,0,0,,
Uthe,Site 4,September,43,Jersulem artichoke,0,0,1,0,0,,
Uthe,Site 4,September,22,Morning glory,0,0,1,0,0,,
Uthe,Site 4,September,32,Mountain mint,0,0,1,0,0,,
Uthe,Site 4,September,48,New england aster,20,20,21,1.322219295,0,,
Uthe,Site 4,September,23,Oxeye sunflower,0,0,1,0,0,,
Uthe,Site 4,September,14,Pale purple coneflower,0,0,1,0,0,,
Uthe,Site 4,September,37,Partridge pea,15,15,16,1.204119983,0,,
Uthe,Site 4,September,38,Purple prairie clover,0,0,1,0,0,,
Uthe,Site 4,September,18,Queen anne's lace,0,0,1,0,0,,
Uthe,Site 4,September,39,Rattlesnake master,0,0,1,0,0,,
Uthe,Site 4,September,1,Red clover,0,0,1,0,0,,
Uthe,Site 4,September,49,Sawtooth sunflower,0,0,1,0,0,,
Uthe,Site 4,September,31,Showy ticktrefoil,0,0,1,0,0,,
Uthe,Site 4,September,26,St. john's wort,0,0,1,0,0,,
Uthe,Site 4,September,33,Swamp milkweed,0,0,1,0,0,,
