Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Jesse,Site 3,JulyAugust,35,Greyheaded coneflower,178,89,90,1.954242509,1,,
Jesse,Site 3,JulyAugust,12,Hairy ruellia,10,5,6,0.77815125,0,,
Jesse,Site 3,JulyAugust,21,Hoary vervain,5,2.5,3.5,0.544068044,2,,
Jesse,Site 3,JulyAugust,36,Ironweed,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,43,Jersulem artichoke,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,22,Morning glory,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,32,Mountain mint,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,48,New england aster,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,23,Oxeye sunflower,192,96,97,1.986771734,16,,
Jesse,Site 3,JulyAugust,14,Pale purple coneflower,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,37,Partridge pea,15,7.5,8.5,0.929418926,0,,
Jesse,Site 3,JulyAugust,38,Purple prairie clover,252,126,127,2.103803721,1,,
Jesse,Site 3,JulyAugust,18,Queen anne's lace,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,39,Rattlesnake master,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,1,Red clover,177,88.5,89.5,1.951823035,0,,
Jesse,Site 3,JulyAugust,49,Sawtooth sunflower,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,31,Showy ticktrefoil,60,30,31,1.491361694,0,,
Jesse,Site 3,JulyAugust,26,St. john's wort,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,33,Swamp milkweed,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,27,Swamp smartweed,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,50,Tall boneset,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,2,White clover,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,44,White heath aster,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,10,White sweet clover,70,35,36,1.556302501,0,,
Jesse,Site 3,JulyAugust,40,White vervain,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,20,Whorled milkweed,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,41,Wild bergamot,217,108.5,109.5,2.039414119,20,,
Jesse,Site 3,JulyAugust,4,Wild parsnip,0,0,1,0,0,,
Jesse,Site 3,JulyAugust,24,Yarrow,10,5,6,0.77815125,0,,
Jesse,Site 3,JulyAugust,9,Yellow sweet clover,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,6,Alfalfa,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,28,Black eyed susan,112,56,57,1.755874856,0,,
Uthe,Site 4,JulyAugust,29,Brown eyed susan,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,19,Bull thistle,2,1,2,0.301029996,63,,
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,1,2,0.301029996,1,,
Uthe,Site 4,JulyAugust,42,Canada lettuce,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,16,Canada thistle,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,8,Carolina horse nettle,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,43,Chicory,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,25,Common evening primrose,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,17,Common milkweed,1,1,2,0.301029996,12,,
Uthe,Site 4,JulyAugust,30,Common selfheal,0,0,1,0,0,,
Uthe,Site 4,JulyAugust,45,Common sneezeweed,0,0,1,0,0,,
