Site,Site2,Month,Date,Color,Blooms,Count,colorabun,colorabun1,logcolorabun1
GM,Site 5,July,7/25/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,7/27/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/27/2019,Pink,40.21428571,2,0.04973357,1.04973357,0.021079086
GM,Site 5,July,7/27/2019,Purple,298.1428571,15,0.050311452,1.050311452,0.021318101
GM,Site 5,July,7/27/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/27/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,7/28/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,7/28/2019,Pink,40.21428571,1,0.024866785,1.024866785,0.010667418
GM,Site 5,July,7/28/2019,Purple,298.1428571,12,0.040249161,1.040249161,0.017137374
GM,Site 5,July,7/28/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,7/28/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,8/3/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,8/3/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,8/3/2019,Purple,298.1428571,7,0.023478678,1.023478678,0.010078799
GM,Site 5,July,8/3/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,8/3/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,8/4/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,8/4/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,8/4/2019,Purple,298.1428571,2,0.006708194,1.006708194,0.002903603
GM,Site 5,July,8/4/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,8/4/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,8/5/2019,Orange,0.142857143,3,20.99999998,21.99999998,1.34242268
GM,Site 5,July,8/5/2019,Pink,40.21428571,12,0.298401421,1.298401421,0.113408982
GM,Site 5,July,8/5/2019,Purple,298.1428571,4,0.013416387,1.013416387,0.005787923
GM,Site 5,July,8/5/2019,White,29.92857143,16,0.534606205,1.534606205,0.18599695
GM,Site 5,July,8/5/2019,Yellow,225.1428571,10,0.044416244,1.044416244,0.018873618
GM,Site 5,July,8/6/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,8/6/2019,Pink,40.21428571,14,0.348134991,1.348134991,0.129733381
GM,Site 5,July,8/6/2019,Purple,298.1428571,3,0.01006229,1.01006229,0.004348157
GM,Site 5,July,8/6/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,8/6/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,8/7/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,8/7/2019,Pink,40.21428571,20,0.497335702,1.497335702,0.17531918
GM,Site 5,July,8/7/2019,Purple,298.1428571,17,0.057019645,1.057019645,0.024083059
GM,Site 5,July,8/7/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,8/7/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,8/8/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,8/8/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,8/8/2019,Purple,298.1428571,5,0.016770484,1.016770484,0.007222931
GM,Site 5,July,8/8/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,8/8/2019,Yellow,225.1428571,0,0,1,0
GM,Site 5,July,8/9/2019,Orange,0.142857143,0,0,1,0
GM,Site 5,July,8/9/2019,Pink,40.21428571,0,0,1,0
GM,Site 5,July,8/9/2019,Purple,298.1428571,2,0.006708194,1.006708194,0.002903603
GM,Site 5,July,8/9/2019,White,29.92857143,0,0,1,0
GM,Site 5,July,8/9/2019,Yellow,225.1428571,2,0.008883249,1.008883249,0.003840911
Jesse,Site 3,JulyAugust,7/6/2020,Orange,13,14,1.076923077,2.076923077,0.317420412
Jesse,Site 3,JulyAugust,7/17/2020,Orange,13,5,0.384615385,1.384615385,0.141329153
Jesse,Site 3,JulyAugust,7/28/2020,Orange,13,3,0.230769231,1.230769231,0.09017663
Jesse,Site 3,JulyAugust,8/7/2020,Orange,13,18,1.384615385,2.384615385,0.377418342
Jesse,Site 3,JulyAugust,8/14/2020,Orange,13,32,2.461538462,3.461538462,0.539269161
Jesse,Site 3,JulyAugust,8/29/2020,Orange,13,0,0,1,0
Jesse,Site 3,JulyAugust,7/6/2020,Pink,33,0,0,1,0
Jesse,Site 3,JulyAugust,7/17/2020,Pink,33,0,0,1,0
Jesse,Site 3,JulyAugust,7/28/2020,Pink,33,0,0,1,0
Jesse,Site 3,JulyAugust,8/7/2020,Pink,33,0,0,1,0
Jesse,Site 3,JulyAugust,8/14/2020,Pink,33,0,0,1,0
Jesse,Site 3,JulyAugust,8/29/2020,Pink,33,0,0,1,0
Jesse,Site 3,JulyAugust,7/6/2020,Purple,338.5,1,0.00295421,1.00295421,0.001281106
Jesse,Site 3,JulyAugust,7/17/2020,Purple,338.5,3,0.008862629,1.008862629,0.003832035
